15.6135,92.1578,4.26132,-0.137121,-1.33786,0.459197
90.9055,1.1624,90.4255,0.426695,-0.111275,-0.460191
159.319,-120.791,156.612,0.173303,-0.06926,0.0716743
90.9056,1.1672,90.4256,0.426701,-0.111243,-0.460192
4.75478,-33.2989,15.4525,-0.530841,-0.490023,-0.28493
90.9051,1.16819,90.4257,0.426704,-0.111261,-0.460191
104.304,-46.3372,-58.4773,0.479391,1.44235,0.701465
90.905,1.16531,90.4255,0.426698,-0.111283,-0.460191
50.7025,-157.815,56.683,0.207927,-0.457016,-0.336994
90.9075,1.15873,90.4253,0.426686,-0.111198,-0.460194
63.8123,-61.4874,-71.9115,-0.6719,0.739878,-0.690606
90.9053,1.16122,90.4254,0.426696,-0.111291,-0.460192
140.708,-33.0466,76.7993,-0.0781409,-0.481664,-0.841936
90.9054,1.16371,90.4255,0.426697,-0.111271,-0.460191
115.093,-95.8575,9.60983,0.437719,0.328879,-0.0769274
90.9058,1.16728,90.4255,0.426698,-0.111232,-0.460193
139.777,71.2762,-7.56675,-0.314062,0.647697,0.920057
90.9054,1.16346,90.4255,0.426696,-0.111275,-0.460191
94.0742,63.3346,-13.2302,0.762551,-0.0653652,0.104445
90.9055,1.16476,90.4255,0.426697,-0.111261,-0.460191
